City,Coordinates,Pollutant,Unit,Value,Last Updated,Country Label
Drôme,"44.5694309830826, 5.27896773343405",O3,µg/m³,50.5,2023-02-27T06:00:00+01:00,France
Drôme,"44.8702622204614, 4.87628892417463",PM10,µg/m³,5.9,2023-02-27T02:00:00+01:00,France
Pas-de-Calais,"50.7482369340289, 2.25978396242539",NO2,µg/m³,10.5,2023-02-27T06:00:00+01:00,France
Rhône,"45.7577305095241, 4.85421731764382",PM2.5,µg/m³,3.5,2023-02-27T06:00:00+01:00,France
Nord,"51.0244512162806, 2.30214851122446",PM10,µg/m³,6.6,2023-02-27T06:00:00+01:00,France
Bouches-du-Rhône,"43.3313927085815, 5.11777403885164",O3,µg/m³,45.1,2023-02-27T06:00:00+01:00,France
Haute-Garonne,"43.6430597871857, 1.46764954488879",PM2.5,µg/m³,1.9,2023-02-27T06:00:00+01:00,France
Haute-Garonne,"43.6430597871857, 1.46764954488879",NO2,µg/m³,6.7,2023-02-27T06:00:00+01:00,France
Gard,"43.9428995172389, 4.67968364109224",O3,µg/m³,50.5,2023-02-27T06:00:00+01:00,France
Hautes-Pyrénées,"43.0969481158716, -0.0388889669648182",PM10,µg/m³,5.9,2023-02-27T06:00:00+01:00,France
Hautes-Pyrénées,"43.2302881526032, 0.0622219878175955",NO2,µg/m³,4.6,2023-02-27T06:00:00+01:00,France
Haute-Saône,"47.6200144851179, 6.15760991283135",PM10,µg/m³,5.1,2023-02-27T05:00:00+01:00,France
Pyrénées-Atlantiques,"43.4702185970344, -1.55384289640006",PM10,µg/m³,13.4,2023-02-27T05:00:00+01:00,France
Drôme,"44.9335095989709, 4.89348267871268",NO2,µg/m³,9.8,2023-02-27T06:00:00+01:00,France
Meurthe-et-Moselle,"48.5848471999281, 6.48389599032925",PM2.5,µg/m³,2.0,2023-02-27T06:00:00+01:00,France
Haute-Savoie,"45.9225095176583, 6.87000088259666",O3,µg/m³,49.1,2023-02-27T06:00:00+01:00,France
Nord,"50.6700180248232, 3.07655916820538",O3,µg/m³,34.8,2023-02-27T06:00:00+01:00,France
Isère,"45.0578285069866, 5.67669682547797",PM10,µg/m³,9.8,2023-02-27T05:00:00+01:00,France
Haute-Garonne,"43.5755447422799, 1.41861051352871",PM10,µg/m³,5.1,2023-02-27T06:00:00+01:00,France
